,article_title,url,country,B,C,FA,GA,Start,Stub,revision_id,article_quality,region,population,high_quality
22,Gajinder Singh Safri,https://en.wikipedia.org/wiki/Gajinder_Singh_Safri,Afghanistan,0.011459282821342922,0.018327691074238643,0.0017540572768553146,0.004291079960698448,0.05532501441698615,0.9088428744498787,1212323536,C,SOUTH ASIA,42.4,False
23,Sharif Ghalib,https://en.wikipedia.org/wiki/Sharif_Ghalib,Afghanistan,0.32708363183315947,0.2865989574268679,0.007511924866651516,0.011625551861471614,0.34717026022142705,0.02000967379042249,1245967190,B,SOUTH ASIA,42.4,False
24,Hashmat Ghani Ahmadzai,https://en.wikipedia.org/wiki/Hashmat_Ghani_Ahmadzai,Afghanistan,0.12292945426391445,0.5078047295064995,0.005041460432725025,0.017993512135372473,0.34189205080749085,0.004338792853997751,1207743719,C,SOUTH ASIA,42.4,False
25,Abdul Ghani Ghani,https://en.wikipedia.org/wiki/Abdul_Ghani_Ghani,Afghanistan,0.011385918433177837,0.01746636720083123,0.0023603522965185463,0.005156605723717649,0.0518527973277106,0.9117779590180441,1227026187,C,SOUTH ASIA,42.4,False
26,Ghulam Ghaus,https://en.wikipedia.org/wiki/Ghulam_Ghaus,Afghanistan,0.009861490670611785,0.013890198731287776,0.002098329905703277,0.004900827209234978,0.08266670443181065,0.8865824490513515,1158659195,C,SOUTH ASIA,42.4,False
27,Ghulam Muhammad Ghobar,https://en.wikipedia.org/wiki/Ghulam_Muhammad_Ghobar,Afghanistan,0.024111289862961866,0.03841794175600294,0.003315540086322395,0.007652003520573806,0.2781267753489282,0.6483764494252108,1240993642,C,SOUTH ASIA,42.4,False
28,Mohammad Gul (Helmand Council),https://en.wikipedia.org/wiki/Mohammad_Gul_(Helmand_Council),Afghanistan,0.005609256043358086,0.00948556888253807,0.001070794760967466,0.0025097920384929803,0.022276814908195774,0.9590477733664476,1136611354,C,SOUTH ASIA,42.4,False
29,Sayed Yousuf Halim,https://en.wikipedia.org/wiki/Sayed_Yousuf_Halim,Afghanistan,0.016810416579613238,0.04438733129584746,0.00247305687225462,0.006115422458656128,0.24450156140490312,0.6857122113887255,1234514565,C,SOUTH ASIA,42.4,False
30,Rangina Hamidi,https://en.wikipedia.org/wiki/Rangina_Hamidi,Afghanistan,0.11784993216972615,0.6632864303736216,0.007432475421468743,0.10703019766705557,0.09772708046225094,0.006673883905876962,1234743111,C,SOUTH ASIA,42.4,False
31,Sayed Zafar Hashemi,https://en.wikipedia.org/wiki/Sayed_Zafar_Hashemi,Afghanistan,0.02249287477968615,0.048314147536139135,0.004360716469687504,0.009417557993881021,0.46294688850682175,0.4524678147137845,1179137138,C,SOUTH ASIA,42.4,False
32,Qutbuddin Hilal,https://en.wikipedia.org/wiki/Qutbuddin_Hilal,Afghanistan,0.040551563458139296,0.13624217437235853,0.005997722983592531,0.013099021865023997,0.690967298605221,0.1131422187156646,1246566795,C,SOUTH ASIA,42.4,False
33,Mahboba Hoqomal,https://en.wikipedia.org/wiki/Mahboba_Hoqomal,Afghanistan,0.015096413775773176,0.03711747313479923,0.002192236891425642,0.005590283963537584,0.11288510489332378,0.8271184873411407,1243745950,C,SOUTH ASIA,42.4,False
34,Musa Hotak,https://en.wikipedia.org/wiki/Musa_Hotak,Afghanistan,0.025757562238448058,0.048192771421506006,0.0034027370653967382,0.0062278515804159145,0.6317352154230109,0.28468386227122244,1246566804,C,SOUTH ASIA,42.4,False
35,Mirza Muhammad Ismail,https://en.wikipedia.org/wiki/Mirza_Muhammad_Ismail,Afghanistan,0.2539560570935379,0.6170074029726158,0.0075744126248558485,0.04141511791576009,0.07297307095501471,0.007073938438215713,1235165845,C,SOUTH ASIA,42.4,False
36,Sayed Jalal,https://en.wikipedia.org/wiki/Sayed_Jalal,Afghanistan,0.031132350289959965,0.07263067694436637,0.004197913293519049,0.007531490005556267,0.7278535128297733,0.15665405663682513,1137130537,C,SOUTH ASIA,42.4,False
37,Said Tayeb Jawad,https://en.wikipedia.org/wiki/Said_Tayeb_Jawad,Afghanistan,0.24963777161946796,0.3872614674433359,0.07802316389028084,0.2604438244311959,0.018663605174579326,0.005970167441140207,1248976824,C,SOUTH ASIA,42.4,False
38,Sayed Jalal Karim,https://en.wikipedia.org/wiki/Sayed_Jalal_Karim,Afghanistan,0.09702602864934554,0.24500533163997196,0.00621526982019548,0.01782882645538704,0.5826890140446925,0.05123552939040753,1136614743,C,SOUTH ASIA,42.4,False
39,Hafizullah Shabaz Khail,https://en.wikipedia.org/wiki/Hafizullah_Shabaz_Khail,Afghanistan,0.12127830253712098,0.2984463274659704,0.005580806361530358,0.023676997966191087,0.5282217274493473,0.022795838219839985,1238402857,C,SOUTH ASIA,42.4,False
40,Masoud Khalili,https://en.wikipedia.org/wiki/Masoud_Khalili,Afghanistan,0.1907972442885587,0.2861092033303628,0.11606184723565996,0.36891785211376454,0.030244570284656252,0.007869282746997892,1246566971,C,SOUTH ASIA,42.4,False
41,Mohammad Khan (athlete),https://en.wikipedia.org/wiki/Mohammad_Khan_(athlete),Afghanistan,0.008096884498236742,0.01054839427658547,0.0014679906622510073,0.002706068787278524,0.028451250825165097,0.9487294109504831,1247727443,C,SOUTH ASIA,42.4,False
42,Samoud Khan,https://en.wikipedia.org/wiki/Samoud_Khan,Afghanistan,0.029072030708494585,0.14017353048142278,0.004088028003591335,0.010495132650296717,0.7123433196159411,0.1038279585402535,1195409073,C,SOUTH ASIA,42.4,False
43,Baran Khan Kudezai,https://en.wikipedia.org/wiki/Baran_Khan_Kudezai,Afghanistan,0.07828943231247783,0.13070850167546255,0.005020438821804351,0.008575742142631229,0.7346407557466645,0.04276512930095939,1176481824,C,SOUTH ASIA,42.4,False
44,Azizullah Lodin,https://en.wikipedia.org/wiki/Azizullah_Lodin,Afghanistan,0.0412137136369197,0.11449828702433498,0.006032589708190674,0.015445920190638968,0.4915775843278546,0.331231905112061,1247762293,C,SOUTH ASIA,42.4,False
45,Razaq Mamoon,https://en.wikipedia.org/wiki/Razaq_Mamoon,Afghanistan,0.05604693468011098,0.16832766476545197,0.005727633988592279,0.011924492218670974,0.6981469809008842,0.05982629344628954,1227180106,C,SOUTH ASIA,42.4,False
46,Fazel Ahmed Manawi,https://en.wikipedia.org/wiki/Fazel_Ahmed_Manawi,Afghanistan,0.02143442390118986,0.040868957319636245,0.003992138467878965,0.008060573978268362,0.5354032318117156,0.390240674521311,1234514379,C,SOUTH ASIA,42.4,False
47,Moeen Marastial,https://en.wikipedia.org/wiki/Moeen_Marastial,Afghanistan,0.1803301067238865,0.3781626786655344,0.006345920711188721,0.01096035007371833,0.4124323673921531,0.011768576433519034,1246567093,C,SOUTH ASIA,42.4,False
48,Ahmad Wali Massoud,https://en.wikipedia.org/wiki/Ahmad_Wali_Massoud,Afghanistan,0.04863548158481943,0.14165974190780029,0.005943239328813768,0.013279482999368476,0.6250083167480189,0.16547373743117907,1221720658,C,SOUTH ASIA,42.4,False
49,Mohammad Daud Miraki,https://en.wikipedia.org/wiki/Mohammad_Daud_Miraki,Afghanistan,0.1562404116539486,0.4062592756196715,0.005771387057271491,0.0479922651453535,0.3741574609843322,0.00957919953942268,1227103354,C,SOUTH ASIA,42.4,False
50,Abdul Sattar Mirzakwal,https://en.wikipedia.org/wiki/Abdul_Sattar_Mirzakwal,Afghanistan,0.012860126340336064,0.026438674479042818,0.002096056184143941,0.005631659332306887,0.12782114594254373,0.8251523377216265,1145249317,C,SOUTH ASIA,42.4,False
51,Abdul Karim Misaq,https://en.wikipedia.org/wiki/Abdul_Karim_Misaq,Afghanistan,0.024034157553647913,0.07628763250513457,0.0035364282133160067,0.010040014340610148,0.23511456641364908,0.6509872009736422,1235405154,C,SOUTH ASIA,42.4,False
52,Ali Mohammad (politician),https://en.wikipedia.org/wiki/Ali_Mohammad_(politician),Afghanistan,0.009764759248668452,0.015440292840340094,0.0018642447442341371,0.004332906077089494,0.10436929031028244,0.8642285067793852,1136630194,C,SOUTH ASIA,42.4,False
53,Nasruddin Mohseni,https://en.wikipedia.org/wiki/Nasruddin_Mohseni,Afghanistan,0.036510029580350545,0.10647083481010296,0.004718469313331197,0.011033777335195647,0.5464563798796702,0.2948105090813494,1136630129,C,SOUTH ASIA,42.4,False
54,Davood Moradian,https://en.wikipedia.org/wiki/Davood_Moradian,Afghanistan,0.013285222237195613,0.01906004605889705,0.0027086346874922894,0.0052054629492751395,0.26648422144084327,0.6932564126262967,1239319380,C,SOUTH ASIA,42.4,False
55,Zalmai Mujadidi,https://en.wikipedia.org/wiki/Zalmai_Mujadidi,Afghanistan,0.10590590858907889,0.39999100817274047,0.004562998165720725,0.020604621097548334,0.46010807344428406,0.008827390530627513,1223903677,C,SOUTH ASIA,42.4,False
56,Sardar Mohammad Nadir Naeem,https://en.wikipedia.org/wiki/Sardar_Mohammad_Nadir_Naeem,Afghanistan,0.017575100420597813,0.030300930459637998,0.002961362959249345,0.007766486016651253,0.2320058611675507,0.7093902589763128,1204109653,C,SOUTH ASIA,42.4,False
57,Daoud Naji,https://en.wikipedia.org/wiki/Daoud_Naji,Afghanistan,0.08227917813207274,0.14892096424388054,0.005789692802776879,0.0206723821049353,0.6452896401417251,0.09704814257460939,1247131367,C,SOUTH ASIA,42.4,False
58,Gholam Rabani Nasher,https://en.wikipedia.org/wiki/Gholam_Rabani_Nasher,Afghanistan,0.00797760683488778,0.017859196507680315,0.0016804726423844667,0.0038628980508329893,0.09487835249781759,0.8737414734663969,1136534788,C,SOUTH ASIA,42.4,False
59,Ghulam Faroq Nijrabi,https://en.wikipedia.org/wiki/Ghulam_Faroq_Nijrabi,Afghanistan,0.006471651748385766,0.011063381171082999,0.0012874393248341201,0.003150431785759942,0.03107524604056971,0.9469518499293675,1136614778,C,SOUTH ASIA,42.4,False
60,Zabih-U-llah Ghazi Noristani,https://en.wikipedia.org/wiki/Zabih-U-llah_Ghazi_Noristani,Afghanistan,0.05681013379870178,0.26616418141955467,0.005672454629616063,0.014478624722850846,0.4866421552449533,0.17023245018432323,1136614682,C,SOUTH ASIA,42.4,False
61,Mohammed Tahir Omar,https://en.wikipedia.org/wiki/Mohammed_Tahir_Omar,Afghanistan,0.014754877000195855,0.03052370510863236,0.0029737981104841554,0.006957866804707163,0.1926429155432556,0.7521468374327249,1185088733,C,SOUTH ASIA,42.4,False
62,Mohammed Qalamuddin,https://en.wikipedia.org/wiki/Mohammed_Qalamuddin,Afghanistan,0.007628337980956821,0.009626961029252526,0.0014393273066968673,0.0030897989241163316,0.01956413786496806,0.9586514368940093,1178097642,C,SOUTH ASIA,42.4,False
63,Ghulam Mohammad Rigi,https://en.wikipedia.org/wiki/Ghulam_Mohammad_Rigi,Afghanistan,0.0068282914996809435,0.010917537904365662,0.0013413721297670968,0.0031135157961748898,0.04157790799221939,0.936221374677792,1129192917,C,SOUTH ASIA,42.4,False
64,Ghulam Hassan Safi,https://en.wikipedia.org/wiki/Ghulam_Hassan_Safi,Afghanistan,0.011690540242204372,0.016218567089812893,0.002116174842842507,0.004827608681368488,0.08347001156636509,0.8816770975774068,1176507815,C,SOUTH ASIA,42.4,False
65,Hanifa Safi,https://en.wikipedia.org/wiki/Hanifa_Safi,Afghanistan,0.013120642520042075,0.01973030351776944,0.002614381413682251,0.005556076127716201,0.1726776910402891,0.7863009053805009,1123824802,C,SOUTH ASIA,42.4,False
66,Mohammed Zia Salehi,https://en.wikipedia.org/wiki/Mohammed_Zia_Salehi,Afghanistan,0.020006130709807685,0.0459055496934306,0.003811531700981052,0.010426320360759904,0.3212037370477556,0.5986467304872651,1225457074,C,SOUTH ASIA,42.4,False
67,Abdul Majid Samim,https://en.wikipedia.org/wiki/Abdul_Majid_Samim,Afghanistan,0.01605513556445364,0.03152143398209239,0.0026486856249999264,0.0066132745849288785,0.11982518243517366,0.8233362878083516,1225425205,C,SOUTH ASIA,42.4,False
68,Saber Sangar,https://en.wikipedia.org/wiki/Saber_Sangar,Afghanistan,0.0086522679757922,0.01238568530983028,0.001700143866717018,0.0032846919000155883,0.046403557811228804,0.9275736531364162,1227951669,C,SOUTH ASIA,42.4,False
69,Sayed Nasim Mihanparast,https://en.wikipedia.org/wiki/Sayed_Nasim_Mihanparast,Afghanistan,0.011922439418101675,0.015432554963616466,0.0022727098925995077,0.004790678423494298,0.13175333711830872,0.8338282801838793,1172646418,C,SOUTH ASIA,42.4,False
70,Suhail Shaheen,https://en.wikipedia.org/wiki/Suhail_Shaheen,Afghanistan,0.16053165022045773,0.31914339979894557,0.006972726947400754,0.06583729413766533,0.4343888417305908,0.01312608716493989,1198363158,C,SOUTH ASIA,42.4,False
71,Fazal Hadi Shinwari,https://en.wikipedia.org/wiki/Fazal_Hadi_Shinwari,Afghanistan,0.13703966056189357,0.2135435549139388,0.015410369097116766,0.5989565532586512,0.030992195030120677,0.004057667138279093,1242412237,C,SOUTH ASIA,42.4,False
72,Baktash Siawash,https://en.wikipedia.org/wiki/Baktash_Siawash,Afghanistan,0.008440095226725411,0.012627325008314602,0.001554073833780928,0.0029705095422529193,0.029868069461630252,0.9445399269272959,1250972393,C,SOUTH ASIA,42.4,False
73,Hasan Ali Sultani,https://en.wikipedia.org/wiki/Hasan_Ali_Sultani,Afghanistan,0.020811773291136492,0.041726807352864756,0.0027604851883434563,0.006298083856914097,0.156965213431808,0.7714376368789331,1136614726,C,SOUTH ASIA,42.4,False
74,Mohammad Hashem Taufiqui,https://en.wikipedia.org/wiki/Mohammad_Hashem_Taufiqui,Afghanistan,0.03683393953421723,0.10838098628097906,0.003919793372189021,0.0066672924485998795,0.6458356735631118,0.19836231480090297,1233490009,C,SOUTH ASIA,42.4,False
75,Pacha Gul Wafadar,https://en.wikipedia.org/wiki/Pacha_Gul_Wafadar,Afghanistan,0.008791062493446283,0.01628783151292174,0.001591773059144459,0.0034430292213802113,0.07722583764924563,0.8926604660638617,1227179979,C,SOUTH ASIA,42.4,False
76,Wahidullah Waissi,https://en.wikipedia.org/wiki/Wahidullah_Waissi,Afghanistan,0.3553661041680142,0.5162922334270919,0.0349044295513431,0.08089666560508565,0.00944183548185624,0.003098731766609151,1232389768,C,SOUTH ASIA,42.4,False
77,Ahmadullah Wasiq,https://en.wikipedia.org/wiki/Ahmadullah_Wasiq,Afghanistan,0.05382206727999367,0.13997522320533504,0.005352639737480992,0.013548517812652166,0.564252952617527,0.2230485993470113,1171042170,C,SOUTH ASIA,42.4,False
78,Gul Ahmmad Yama,https://en.wikipedia.org/wiki/Gul_Ahmmad_Yama,Afghanistan,0.04404061973948803,0.16260451528765024,0.004711136716655289,0.011566612718258174,0.6601993462743218,0.11687776926362659,1136614561,C,SOUTH ASIA,42.4,False
79,Abdul Salam Zaeef,https://en.wikipedia.org/wiki/Abdul_Salam_Zaeef,Afghanistan,0.13215880927952237,0.2706097853961514,0.08066283804317297,0.4978351696421517,0.014107626611427927,0.004625771027573797,1243758857,C,SOUTH ASIA,42.4,False
80,Abdul Zahir (Konar Education Minister),https://en.wikipedia.org/wiki/Abdul_Zahir_(Konar_Education_Minister),Afghanistan,0.005685662792530233,0.008412226452678794,0.0011263399360004565,0.00256092373710715,0.014426601150527602,0.9677882459311558,1126667481,C,SOUTH ASIA,42.4,False
81,Mohammed Zaman,https://en.wikipedia.org/wiki/Mohammed_Zaman,Afghanistan,0.1480781216706186,0.3338948639550163,0.006235698256358679,0.01943181746174821,0.46816224112373245,0.02419725753252609,1229734414,C,SOUTH ASIA,42.4,False
82,Ziauddin (Afghan militia leader),https://en.wikipedia.org/wiki/Ziauddin_(Afghan_militia_leader),Afghanistan,0.1033630535004952,0.18780219435266815,0.006533744542638541,0.031811378624222765,0.6158747810783155,0.054614847901659776,1150044800,C,SOUTH ASIA,42.4,False
83,Qari Ziauddin,https://en.wikipedia.org/wiki/Qari_Ziauddin,Afghanistan,0.05367700968998096,0.11210152448003154,0.005218799760337322,0.012516110160147455,0.7017811999239503,0.11470535598555243,1245217124,C,SOUTH ASIA,42.4,False
84,Abdul Ghafor Zori,https://en.wikipedia.org/wiki/Abdul_Ghafor_Zori,Afghanistan,0.025088996573735867,0.05427264527324413,0.0036432565239864585,0.008953472135034113,0.4192518570344743,0.48878977245952526,1136614520,C,SOUTH ASIA,42.4,False
85,Ali Pasha of Gusinje,https://en.wikipedia.org/wiki/Ali_Pasha_of_Gusinje,Albania,0.1726144483586042,0.336935516940091,0.009941841626600306,0.3991331379025366,0.07386849542809779,0.007506559744070349,1244421894,C,SOUTHERN EUROPE,2.7,False
86,Ylli Asllani,https://en.wikipedia.org/wiki/Ylli_Asllani,Albania,0.055709649167408205,0.04656698374876157,0.004981549963649061,0.007350525869498819,0.745601360084823,0.13978993116585922,1221605713,B,SOUTHERN EUROPE,2.7,False
87,Azis Tahir Ajdonati,https://en.wikipedia.org/wiki/Azis_Tahir_Ajdonati,Albania,0.013241743191622952,0.026589447554614353,0.001909062652659107,0.004792000259811278,0.08868177700326062,0.8647859693380316,1192928746,C,SOUTHERN EUROPE,2.7,False
88,Bislim Bajgora,https://en.wikipedia.org/wiki/Bislim_Bajgora,Albania,0.1416983053684189,0.49553628568321983,0.005356888394610888,0.04219933247833919,0.30925802463496377,0.005951163440447631,1217284690,C,SOUTHERN EUROPE,2.7,False
89,Kastriot Berissa,https://en.wikipedia.org/wiki/Kastriot_Berissa,Albania,0.08606611144296193,0.20132991047799956,0.005498122700433258,0.03531150253846878,0.661848773153995,0.009945579686141601,1244463139,C,SOUTHERN EUROPE,2.7,False
90,Bardhok Biba,https://en.wikipedia.org/wiki/Bardhok_Biba,Albania,0.226996346677195,0.5347606001360469,0.005847062503907284,0.014006737386334353,0.21209495916578658,0.006294294130730011,1250227174,C,SOUTHERN EUROPE,2.7,False
91,Kostandin Boshnjaku,https://en.wikipedia.org/wiki/Kostandin_Boshnjaku,Albania,0.3374543052184642,0.42093019533492343,0.032739317052101896,0.17482998022490212,0.02860288997146483,0.005443312198143712,1250227994,C,SOUTHERN EUROPE,2.7,False
92,Spartak Braho,https://en.wikipedia.org/wiki/Spartak_Braho,Albania,0.02378639128397493,0.05367990932689127,0.004290908321195215,0.009433136484520153,0.6893275550202441,0.2194820995631743,1224650124,C,SOUTHERN EUROPE,2.7,False
93,Safet Butka,https://en.wikipedia.org/wiki/Safet_Butka,Albania,0.3062592314387477,0.5438120859101119,0.008171920387390761,0.06451709632056239,0.07050432964260364,0.00673533630058365,1189442848,C,SOUTHERN EUROPE,2.7,False
94,Uran Butka,https://en.wikipedia.org/wiki/Uran_Butka,Albania,0.052579521241075976,0.12372076517674174,0.0037657891553525944,0.006590853735405927,0.6902095139474241,0.12313355674399967,1196422551,C,SOUTHERN EUROPE,2.7,False
95,Refo Çapari,https://en.wikipedia.org/wiki/Refo_Çapari,Albania,0.026450545467608267,0.11652863929166503,0.0040788762288412935,0.00847815358228585,0.655233864837569,0.1892299205920306,1222381064,C,SOUTHERN EUROPE,2.7,False
96,Neritan Ceka,https://en.wikipedia.org/wiki/Neritan_Ceka,Albania,0.05625765231743304,0.25328228569289857,0.007188920910284388,0.014868834784443466,0.5567163669894072,0.11168593930553335,1184807608,C,SOUTHERN EUROPE,2.7,False
97,Hysni Curri,https://en.wikipedia.org/wiki/Hysni_Curri,Albania,0.18410960249262925,0.3791637754238356,0.00604676442798259,0.02495113916250455,0.3934716458864571,0.012257072606590825,1198914812,C,SOUTHERN EUROPE,2.7,False
98,Ibrahim Dalliu,https://en.wikipedia.org/wiki/Ibrahim_Dalliu,Albania,0.14270710986764712,0.33987348299753767,0.004114743099800854,0.010876946554035403,0.49711272899338094,0.0053149884875978975,1248264998,C,SOUTHERN EUROPE,2.7,False
99,Niazi Demi,https://en.wikipedia.org/wiki/Niazi_Demi,Albania,0.008640620638797246,0.01178205707401301,0.0017236305677465974,0.0038114213180035555,0.05826103052499605,0.9157812398764434,1209346411,C,SOUTHERN EUROPE,2.7,False
100,Abdurrahman Dibra,https://en.wikipedia.org/wiki/Abdurrahman_Dibra,Albania,0.05704488908445502,0.25355250461098383,0.0063617821883736585,0.013658586857342905,0.5988303058328651,0.07055193142597946,1244008227,C,SOUTHERN EUROPE,2.7,False
101,Bujar Dida,https://en.wikipedia.org/wiki/Bujar_Dida,Albania,0.20344736760145612,0.38669858083715286,0.008751351347044224,0.15290583463437527,0.23707128775251374,0.011125577827457893,1222151681,C,SOUTHERN EUROPE,2.7,False
102,Ahmed Dino,https://en.wikipedia.org/wiki/Ahmed_Dino,Albania,0.01690807587132503,0.03899363077876592,0.0027938961587301555,0.006644163566007209,0.2617725673924825,0.6728876662326891,1209165678,C,SOUTHERN EUROPE,2.7,False
103,Rasih Dino,https://en.wikipedia.org/wiki/Rasih_Dino,Albania,0.017837750777380694,0.038373453087085056,0.0028946345269231987,0.007246666075976423,0.42443828952308554,0.5092092060095491,1180949327,C,SOUTHERN EUROPE,2.7,False
104,Ferhat Bey Draga,https://en.wikipedia.org/wiki/Ferhat_Bey_Draga,Albania,0.14480093917709388,0.4901023343971764,0.005377545680340663,0.03081954758468445,0.32205387644020866,0.00684575672049633,1236738861,C,SOUTHERN EUROPE,2.7,False
105,Nexhip Draga,https://en.wikipedia.org/wiki/Nexhip_Draga,Albania,0.2912794939790328,0.2162383082595934,0.019953753619560557,0.41809183408670825,0.04214440818882214,0.012292201866282795,1236738502,B,SOUTHERN EUROPE,2.7,False
106,Aqif Pasha Elbasani,https://en.wikipedia.org/wiki/Aqif_Pasha_Elbasani,Albania,0.2690335619204478,0.3187930292418192,0.008733044509209314,0.3446545614764178,0.05157957350381408,0.007206229348291634,1243882903,C,SOUTHERN EUROPE,2.7,False
107,Abas Ermenji,https://en.wikipedia.org/wiki/Abas_Ermenji,Albania,0.1106126654352648,0.3669940389863198,0.005219152032012573,0.013292579063391919,0.4946008799848506,0.009280684498160286,1240801210,C,SOUTHERN EUROPE,2.7,False
